k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__ovatus (ID180606)  -0.00396605164761
k__Bacteria, p__SR1, c__, o__, f__, g__, s__ (ID4330849)  2.5393974206e-08
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus, s__ (ID38338)  -3.79881652485e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__, s__ (ID213044)  5.95570067434e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID196832)  -1.41036213389e-07
k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__ (ID811516)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Acidaminococcus, s__ (ID4418233)  5.56052515594e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID257034)  3.51135924716e-07
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__, s__ (ID2751657)  5.22875818667e-08
k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__ (ID4385959)  0.0
k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Stigonematales, f__Rivulariaceae, g__Calothrix, s__ (ID1133373)  0.0
k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__WD2101, f__, g__, s__ (ID1133377)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__, f__, g__, s__ (ID4475154)  0.0
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Nitrosomonadales, f__Nitrosomonadaceae, g__, s__ (ID808949)  9.12005341501e-08
k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__ (ID862361)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID3206495)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID192000)  -2.23811185652e-07
k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Adhaeribacter, s__ (ID4358701)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__, s__ (ID843578)  0.0
k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Planctomycetales, f__Planctomycetaceae, g__Planctomyces, s__ (ID1136827)  0.0
k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__, s__ (ID3511168)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__, s__ (ID573338)  -8.18100241022e-07
k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__, s__ (ID1131830)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID36611)  1.86508184264e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Clostridium, s__ (ID199388)  1.57815462553e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__, s__ (ID4315688)  2.87931575158e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Shewanellaceae, g__Shewanella, s__ (ID4378477)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID4327763)  5.93147239004e-06
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Leucobacter, s__ (ID4327769)  8.80344802631e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID148259)  4.24998320948e-07
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__ (ID539941)  1.62095641421e-06
k__Bacteria, p__FBP, c__, o__, f__, g__, s__ (ID89364)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID305477)  2.1864005275e-08
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__, g__, s__ (ID277768)  -5.66481404732e-07
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__ (ID821065)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Ruminococcus, s__flavefaciens (ID303739)  1.05564707738e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Phascolarctobacterium, s__ (ID2128801)  3.78115117813e-07
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__ (ID2128805)  9.11284639274e-07
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__ (ID215053)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Lachnospira, s__ (ID176269)  5.12117839872e-09
k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Trueperaceae, g__B-42, s__ (ID99357)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Clostridium, s__ (ID4460263)  5.06023735773e-06
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae, g__Streptomyces, s__ (ID4440570)  0.0
k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Acidobacteriaceae, g__, s__ (ID512811)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__ (ID190534)  3.40042105952e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID578409)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID193844)  3.91093048974e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__ (ID193842)  1.39325716492e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID4404459)  -2.70433304428e-06
k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Koribacteraceae, g__, s__ (ID1135026)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID510524)  -8.62597353378e-07
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae, g__Vibrio, s__ (ID9232)  0.0
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae, g__Amycolatopsis, s__ (ID772453)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID305293)  2.32453548066e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__, s__ (ID4324234)  0.0
k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__Sphingobacterium, s__ (ID895669)  2.45582840934e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__gnavus (ID3044876)  2.93836152791e-07
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__OM60, g__, s__ (ID3185790)  0.0
k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__, s__ (ID1137888)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__fragi (ID930834)  2.17628668467e-07
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae, g__Streptomyces, s__mashuensis (ID53467)  0.0
k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__, g__, s__ (ID4095119)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__ (ID986708)  1.25360915643e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae, g__Photobacterium, s__ (ID4407228)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__, s__ (ID827585)  1.91744200352e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Pseudoalteromonadaceae, g__Pseudoalteromonas, s__ (ID4407222)  0.0
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__, s__ (ID190392)  -6.10406094624e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID293990)  3.85524760698e-06
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__, s__ (ID3312521)  1.07922562559e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Christensenellaceae, g__, s__ (ID1139483)  2.24214525873e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Faecalibacterium, s__prausnitzii (ID4469199)  6.66381959944e-08
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__, s__ (ID430194)  -5.16111178504e-07
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae, g__, s__ (ID211539)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__, s__ (ID3261476)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID157546)  1.3226953129e-09
k__Bacteria, p__Gemmatimonadetes, c__Gemmatimonadetes, o__Gemmatimonadales, f__, g__, s__ (ID331579)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingobium, s__ (ID44440)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae, g__Staphylococcus, s__ (ID495788)  8.07266035101e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID331571)  6.33428672153e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__gnavus (ID331575)  1.43167305035e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID111800)  6.09909307345e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__, s__ (ID168759)  0.0
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__, s__ (ID157893)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID158846)  2.54144964593e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID157894)  7.34635058536e-07
k__Bacteria, p__Acidobacteria, c__Sva0725, o__Sva0725, f__, g__, s__ (ID217972)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__, s__ (ID179215)  3.81075784196e-08
k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__SBR1031, f__A4b, g__, s__ (ID4390724)  0.0
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Mycobacteriaceae, g__Mycobacterium, s__ (ID4390723)  -3.58167543837e-06
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae, g__Halomonas, s__ (ID79151)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID264461)  8.80160234227e-09
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__, s__ (ID264463)  -1.8189722443e-06
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__, s__ (ID1524896)  5.83018139152e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__, s__ (ID24490)  2.20682483753e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__, s__ (ID151495)  5.44132608427e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__ (ID24493)  2.14901363967e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID291267)  3.49948334014e-06
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__ (ID544253)  7.08989565511e-07
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__ (ID533373)  1.21233909108e-06
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Lysobacter, s__ (ID4419617)  -1.06436574201e-06
k__Bacteria, p__Actinobacteria, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae, g__, s__ (ID2127939)  1.9033161618e-06
k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__, s__ (ID2850547)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Lactococcus, s__ (ID289974)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__, g__, s__ (ID4301663)  2.07093194568e-08
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__, s__ (ID144720)  9.71208240352e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Epulopiscium, s__ (ID4377715)  2.93556618363e-05
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__, s__ (ID2606073)  -1.1966822877e-07
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae, g__, s__ (ID3183894)  1.32850490881e-08
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae, g__, s__ (ID35735)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__ (ID1144449)  1.53746365691e-06
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae, g__Rhodoplanes, s__ (ID2375689)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__, s__ (ID4296506)  3.76013659714e-06
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiohalorhabdales, f__, g__, s__ (ID1106217)  1.02921606543e-07
k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__ (ID217022)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__, g__, s__ (ID1106213)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Providencia, s__ (ID4484466)  3.99253843906e-07
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__ (ID4316819)  -6.81992089801e-07
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Rhizobium, s__ (ID4409759)  0.0
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__RF16, g__, s__ (ID308170)  6.85727124093e-09
k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__ (ID807860)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae, g__, s__ (ID509093)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae, g__, s__ (ID4410199)  0.0
k__Bacteria, p__Acidobacteria, c__[Chloracidobacteria], o__RB41, f__Ellin6075, g__, s__ (ID3937258)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__, s__ (ID93199)  3.37046667031e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__, s__ (ID2225203)  4.88819435761e-07
k__Bacteria, p__Chloroflexi, c__TK17, o__, f__, g__, s__ (ID1143148)  0.0
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__, s__ (ID4393407)  0.0
k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__succinicans (ID4393400)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID196020)  -1.8699977787e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Collimonas, s__ (ID341548)  3.75486896684e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID100862)  5.73623698208e-09
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID2627856)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID4335555)  9.33759258281e-09
k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Isosphaeraceae, g__, s__ (ID677908)  0.0
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Thermomonosporaceae, g__, s__ (ID579412)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID292103)  -2.06393695129e-07
k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Patulibacteraceae, g__, s__ (ID799959)  0.0
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__, s__ (ID277967)  0.000187718031769
k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__, s__ (ID921687)  1.12394135857e-05
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__ (ID754549)  4.82994636101e-08
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__, s__ (ID4475455)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Serratia, s__ (ID3159130)  4.82569643147e-07
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__, s__ (ID2313705)  1.86191260684e-06
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Dialister, s__ (ID2866420)  9.58625824452e-09
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__, s__ (ID736735)  7.43189667604e-08
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae, g__Streptomyces, s__ (ID204147)  0.0
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__, s__ (ID250096)  2.21545764184e-05
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Ellin329, f__, g__, s__ (ID204148)  0.0
k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__ (ID669486)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__BD7-3, f__, g__, s__ (ID4404862)  1.78835779789e-08
k__Bacteria, p__Acidobacteria, c__[Chloracidobacteria], o__RB41, f__Ellin6075, g__, s__ (ID4400369)  0.0
k__Bacteria, p__Firmicutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Bulleidia, s__ (ID329058)  1.53834885666e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Mogibacteriaceae], g__, s__ (ID790466)  3.51135924716e-07
k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Isosphaeraceae, g__, s__ (ID962354)  0.0
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae, g__Streptomyces, s__ (ID1107995)  0.0
k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__ (ID106019)  -1.12750127382e-06
k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae, g__Geobacter, s__ (ID143933)  7.16205297957e-08
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__, s__ (ID675211)  0.0
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Ramlibacter, s__ (ID113128)  -1.19898542823e-07
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium, s__ (ID997439)  7.07841511311e-06
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Burkholderiaceae, g__Burkholderia, s__ (ID4346780)  2.28717266942e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__, s__ (ID823231)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Beijerinckiaceae, g__, s__ (ID4391116)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__ (ID744885)  4.87471383943e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Gallionellales, f__Gallionellaceae, g__Gallionella, s__ (ID3519749)  -3.33570663456e-07
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Kaistobacter, s__ (ID879040)  0.0
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__, s__ (ID517293)  1.97700098573e-07
k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Leucobacter, s__ (ID371761)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID194374)  2.95590159709e-07
k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__, g__, s__ (ID4444941)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae, g__Vibrio, s__ (ID676648)  0.0
k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__Pirellula, s__ (ID722776)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__, s__ (ID133044)  6.4197029803e-08
k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__Stramenopiles, f__, g__, s__ (ID2986479)  0.0
k__Bacteria, p__Chloroflexi, c__Thermomicrobia, o__JG30-KF-CM45, f__, g__, s__ (ID788876)  0.0
k__Bacteria, p__Cyanobacteria, c__ML635J-21, o__, f__, g__, s__ (ID112746)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID274536)  7.43720631018e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID274533)  -6.28275685476e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae, g__Propionivibrio, s__ (ID4394099)  5.17483275975e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Dehalobacteriaceae, g__Dehalobacterium, s__ (ID4164932)  -2.00966320931e-06
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Paracoccus, s__ (ID107767)  0.0
k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Odoribacteraceae], g__Butyricimonas, s__ (ID525344)  -9.20548384987e-08
k__Bacteria, p__Cyanobacteria, c__4C0d-2, o__YS2, f__, g__, s__ (ID525341)  -3.75484115327e-07
k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Methylophilales, f__Methylophilaceae, g__Methylotenera, s__mobilis (ID2471826)  3.63274945178e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID107768)  0.0
k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Patulibacteraceae, g__, s__ (ID1042160)  0.0
k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae, g__Enterovibrio, s__ (ID18223)  0.0
k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__, s__ (ID647393)  0.0
k__Bacteria, p__Gemmatimonadetes, c__Gemmatimonadetes, o__, f__, g__, s__ (ID724343)  0.0
k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__Fluviicola, s__ (ID4466444)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID328827)  1.41472975309e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID328825)  2.61438687687e-08
k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Alicyclobacillaceae, g__Alicyclobacillus, s__ (ID4349691)  0.0
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID328828)  2.46205369864e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__ (ID271477)  2.99624778753e-08
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__ (ID988932)  2.0708478464e-07
k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__ (ID298624)  -1.02254928871e-05
